,id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,direccion_normalizada,comuna,longitud,latitud,participantes,victima,acusado,Tipo_siniestro
1167,LC-2019-0102429,1,2019-02-17 00:00:00,2019,2,17,15:43:00,15,,,,,,,3,-58.392119,-34.606787,SD-SD,,,Lesion
1168,LC-2019-0102541,1,2019-02-17 00:00:00,2019,2,17,17:58:00,17,,,,,,,8,-58.430307,-34.667926,SD-SD,,,Lesion
1169,LC-2019-0102571,1,2019-02-17 00:00:00,2019,2,17,16:10:00,16,,,,,,,15,-58.465189,-34.592165,SD-SD,,,Lesion
1170,LC-2019-0102609,1,2019-02-17 00:00:00,2019,2,17,18:51:00,18,,,,,,,1,-58.388603,-34.608981,PEATON-SD,PEATON,,Lesion
1171,LC-2019-0102718,3,2019-02-17 00:00:00,2019,2,17,20:22:00,20,,,,,,,14,-58.441453,-34.585247,SD-SD,,,Lesion
1172,LC-2019-0102770,1,2019-02-17 00:00:00,2019,2,17,20:57:00,20,,,,,,,13,-58.438677,-34.553452,SD-SD,,,Lesion
1173,LC-2019-0102865,1,2019-02-17 00:00:00,2019,2,17,22:30:00,22,,,,,,,4,-58.358811,-34.632686,SD-SD,,,Lesion
1174,LC-2019-0102918,1,2019-02-17 00:00:00,2019,2,17,23:37:00,23,,,,,,,No Especificada,,,SD-SD,,,Lesion
1175,LC-2019-0119081,1,2019-02-17 00:00:00,2019,2,17,09:43:00,9,,,,,,,5,-58.42012,-34.621329,SD-SD,,,Lesion
1176,LC-2019-0104014,1,2019-02-18 00:00:00,2019,2,18,07:30:00,7,,,,,,,No Especificada,,,CICLISTA-SD,CICLISTA,,Lesion
1177,LC-2019-0104321,1,2019-02-18 00:00:00,2019,2,18,14:19:00,14,,,,,,,7,-58.461291,-34.615528,CICLISTA-SD,CICLISTA,,Lesion
1178,LC-2019-0104729,1,2019-02-18 00:00:00,2019,2,18,15:30:00,15,,,,,,,6,-58.445789,-34.622405,CICLISTA-SD,CICLISTA,,Lesion
1179,LC-2019-0104869,1,2019-02-18 00:00:00,2019,2,18,17:45:00,17,,,,,,,4,-58.37751,-34.648145,CICLISTA-SD,CICLISTA,,Lesion
1180,LC-2019-0105284,1,2019-02-18 00:00:00,2019,2,18,20:28:00,20,,,,,,,14,-58.41973,-34.565227,CICLISTA-SD,CICLISTA,,Lesion
1181,LC-2019-0118158,1,2019-02-18 00:00:00,2019,2,18,18:00:00,18,,,,,,,12,-58.509294,-34.58065,CICLISTA-SD,CICLISTA,,Lesion
1182,LC-2019-0103076,1,2019-02-18 00:00:00,2019,2,18,01:00:00,1,,,,,,,10,-58.514329,-34.617879,SD-SD,,,Lesion
1183,LC-2019-0103181,2,2019-02-18 00:00:00,2019,2,18,06:20:00,6,,,,,,,No Especificada,,,AUTO-SD,AUTO,,Lesion
1184,LC-2019-0103223,1,2019-02-18 00:00:00,2019,2,18,08:17:00,8,,,,,,,6,-58.439303,-34.610798,SD-SD,,,Lesion
1185,LC-2019-0103271,1,2019-02-18 00:00:00,2019,2,18,07:30:00,7,,,,,,,No Especificada,,,MOTO-SD,MOTO,,Lesion
1186,LC-2019-0103326,2,2019-02-18 00:00:00,2019,2,18,09:18:00,9,,,,,,,7,-58.458855,-34.627547,SD-SD,,,Lesion
1187,LC-2019-0103654,5,2019-02-18 00:00:00,2019,2,18,11:09:00,11,,,,,,,8,,,SD-SD,,,Lesion
1188,LC-2019-0103728,1,2019-02-18 00:00:00,2019,2,18,11:24:00,11,,,,,,,No Especificada,,,SD-SD,,,Lesion
1189,LC-2019-0103755,2,2019-02-18 00:00:00,2019,2,18,08:29:00,8,,,,,,,No Especificada,,,SD-SD,,,Lesion
1190,LC-2019-0103793,1,2019-02-18 00:00:00,2019,2,18,11:17:00,11,,,,,,,No Especificada,,,SD-SD,,,Lesion
1191,LC-2019-0103860,1,2019-02-18 00:00:00,2019,2,18,12:00:00,12,,,,,,,No Especificada,,,SD-SD,,,Lesion
1192,LC-2019-0104126,1,2019-02-18 00:00:00,2019,2,18,13:04:00,13,,,,,,,No Especificada,,,SD-SD,,,Lesion
1193,LC-2019-0104242,3,2019-02-18 00:00:00,2019,2,18,13:42:00,13,,,,,,,14,-58.4238,-34.590028,SD-SD,,,Lesion
1194,LC-2019-0104417,1,2019-02-18 00:00:00,2019,2,18,14:52:00,14,,,,,,,5,-58.420685,-34.601691,SD-SD,,,Lesion
1195,LC-2019-0104441,1,2019-02-18 00:00:00,2019,2,18,15:04:00,15,,,,,,,4,-58.373214,-34.642399,MOTO-SD,MOTO,,Lesion
1196,LC-2019-0104673,2,2019-02-18 00:00:00,2019,2,18,14:10:00,14,,,,,,,1,-58.37052,-34.600073,SD-SD,,,Lesion
1197,LC-2019-0105014,1,2019-02-18 00:00:00,2019,2,18,17:15:00,17,,,,,,,3,-58.392599,-34.601985,PEATON-SD,PEATON,,Lesion
1198,LC-2019-0105084,1,2019-02-18 00:00:00,2019,2,18,18:53:00,18,,,,,,,15,-58.477879,-34.597088,SD-SD,,,Lesion
1199,LC-2019-0105094,1,2019-02-18 00:00:00,2019,2,18,19:02:00,19,,,,,,,1,-58.381948,-34.609087,SD-SD,,,Lesion
1200,LC-2019-0105171,1,2019-02-18 00:00:00,2019,2,18,18:10:00,18,,,,,,,11,-58.469923,-34.616755,SD-SD,,,Lesion
1201,LC-2019-0105231,2,2019-02-18 00:00:00,2019,2,18,19:58:00,19,,,,,,,9,-58.529089,-34.638866,SD-SD,,,Lesion
1202,LC-2019-0105252,1,2019-02-18 00:00:00,2019,2,18,20:08:00,20,,,,,,,4,-58.366163,-34.628684,SD-SD,,,Lesion
1203,LC-2019-0105311,1,2019-02-18 00:00:00,2019,2,18,19:45:00,19,,,,,,,10,-58.500088,-34.638846,SD-SD,,,Lesion
1204,LC-2019-0105322,1,2019-02-18 00:00:00,2019,2,18,20:41:00,20,,,,,,,7,-58.462519,-34.642339,SD-SD,,,Lesion
1205,LC-2019-0105358,2,2019-02-18 00:00:00,2019,2,18,19:12:00,19,,,,,,,15,-58.440159,-34.587601,SD-SD,,,Lesion
1206,LC-2019-0105489,1,2019-02-18 00:00:00,2019,2,18,22:58:00,22,,,,,,,1,-58.380458,-34.604399,SD-SD,,,Lesion
1207,LC-2019-0105688,1,2019-02-18 00:00:00,2019,2,18,02:53:00,2,,,,,,,1,-58.382213,-34.603738,SD-SD,,,Lesion
1208,LC-2019-0107761,1,2019-02-18 00:00:00,2019,2,18,17:45:00,17,,,,,,,2,-58.391726,-34.584756,SD-SD,,,Lesion
1209,LC-2019-0114039,1,2019-02-18 00:00:00,2019,2,18,10:30:00,10,,,,,,,4,-58.361426,-34.627135,SD-SD,,,Lesion
1210,LC-2019-0103162,1,2019-02-18 00:00:00,2019,2,18,06:21:00,6,,,"PAZ, GRAL. AV.",,CUBA,"PAZ, GRAL. AV. y CUBA",,,,SD-SD,,,Lesion
1211,LC-2019-0107327,1,2019-02-19 00:00:00,2019,2,19,16:05:00,16,,,,,,,7,-58.46414,-34.615738,CICLISTA-SD,CICLISTA,,Lesion
1212,LC-2019-0107818,1,2019-02-19 00:00:00,2019,2,19,18:42:00,18,,,,,,,5,-58.41653,-34.625413,CICLISTA-SD,CICLISTA,,Lesion
1213,LC-2019-0118037,1,2019-02-19 00:00:00,2019,2,19,17:02:00,17,,,,,,,10,-58.493439,-34.619176,CICLISTA-SD,CICLISTA,,Lesion
1214,LC-2019-0105628,1,2019-02-19 00:00:00,2019,2,19,01:15:00,1,,,,,,,5,-58.421519,-34.626228,SD-SD,,,Lesion
1215,LC-2019-0105669,2,2019-02-19 00:00:00,2019,2,19,02:10:00,2,,,,,,,3,-58.40998,-34.606716,MOTO-SD,MOTO,,Lesion
1216,LC-2019-0105928,1,2019-02-19 00:00:00,2019,2,19,07:00:00,7,,,,,,,11,-58.462151,-34.606997,MOTO-SD,MOTO,,Lesion
1217,LC-2019-0105976,1,2019-02-19 00:00:00,2019,2,19,06:15:00,6,,,,,,,7,-58.446099,-34.644466,SD-SD,,,Lesion
1218,LC-2019-0106143,1,2019-02-19 00:00:00,2019,2,19,08:00:00,8,,,,,,,15,-58.45512,-34.586981,SD-SD,,,Lesion
1219,LC-2019-0107071,1,2019-02-19 00:00:00,2019,2,19,14:30:00,14,,,,,,,7,-58.464419,-34.640161,MOTO-SD,MOTO,,Lesion
1220,LC-2019-0107096,1,2019-02-19 00:00:00,2019,2,19,12:40:00,12,,,,,,,15,-58.433251,-34.601813,SD-SD,,,Lesion
1221,LC-2019-0107114,1,2019-02-19 00:00:00,2019,2,19,14:42:00,14,,,,,,,5,-58.421818,-34.611769,SD-SD,,,Lesion
1222,LC-2019-0107192,1,2019-02-19 00:00:00,2019,2,19,13:30:00,13,,,,,,,2,-58.401275,-34.592295,SD-SD,,,Lesion
1223,LC-2019-0107272,1,2019-02-19 00:00:00,2019,2,19,13:15:00,13,,,,,,,9,-58.489402,-34.649483,SD-SD,,,Lesion
1224,LC-2019-0107363,1,2019-02-19 00:00:00,2019,2,19,16:18:00,16,,,,,,,13,-58.452124,-34.55366,MOTO-SD,MOTO,,Lesion
1225,LC-2019-0107545,1,2019-02-19 00:00:00,2019,2,19,16:00:00,16,,,,,,,11,-58.507466,-34.603182,SD-SD,,,Lesion
1226,LC-2019-0107591,3,2019-02-19 00:00:00,2019,2,19,17:26:00,17,,,,,,,15,-58.475033,-34.580603,SD-SD,,,Lesion
1227,LC-2019-0107766,1,2019-02-19 00:00:00,2019,2,19,18:20:00,18,,,,,,,15,-58.46209,-34.603457,SD-SD,,,Lesion
1228,LC-2019-0107997,1,2019-02-19 00:00:00,2019,2,19,20:03:00,20,,,,,,,15,-58.477825,-34.591189,AUTO-SD,AUTO,,Lesion
1229,LC-2019-0108038,1,2019-02-19 00:00:00,2019,2,19,20:00:00,20,,,,,,,3,-58.412361,-34.621866,SD-SD,,,Lesion
1230,LC-2019-0108086,1,2019-02-19 00:00:00,2019,2,19,20:36:00,20,,,,,,,13,-58.466036,-34.551629,SD-SD,,,Lesion
1231,LC-2019-0108140,1,2019-02-19 00:00:00,2019,2,19,20:48:00,20,,,,,,,7,-58.439488,-34.6546,SD-SD,,,Lesion
1232,LC-2019-0108190,1,2019-02-19 00:00:00,2019,2,19,17:20:00,17,,,,,,,No Especificada,,,SD-SD,,,Lesion
1233,LC-2019-0108285,1,2019-02-19 00:00:00,2019,2,19,22:11:00,22,,,,,,,13,-58.449274,-34.540487,CAMION-SD,CAMION,,Lesion
1234,LC-2019-0109079,1,2019-02-19 00:00:00,2019,2,19,23:50:00,23,,,,,,,7,-58.443326,-34.651187,SD-SD,,,Lesion
1235,LC-2019-0115370,1,2019-02-19 00:00:00,2019,2,19,17:15:00,17,,,,,,,7,-58.425756,-34.631481,SD-SD,,,Lesion
1236,LC-2019-0115700,1,2019-02-19 00:00:00,2019,2,19,22:30:00,22,,,,,,,4,-58.374935,-34.64855,TRANSPORTE PUBLICO-SD,TRANSPORTE PUBLICO,,Lesion
1237,LC-2019-0116731,1,2019-02-19 00:00:00,2019,2,19,14:35:00,14,,,,,,,10,-58.485958,-34.627614,PEATON-SD,PEATON,,Lesion
1238,LC-2019-0117615,1,2019-02-19 00:00:00,2019,2,19,11:30:00,11,,,,,,,2,-58.409629,-34.595662,SD-SD,,,Lesion
1239,LC-2019-0120219,1,2019-02-19 00:00:00,2019,2,19,09:20:00,9,,,,,,,15,-58.469493,-34.583092,SD-SD,,,Lesion
1240,LC-2019-0166872,1,2019-02-19 00:00:00,2019,2,19,16:15:00,16,,,,,,,14,-58.435531,-34.575061,SD-SD,,,Lesion
1241,LC-2019-0110205,1,2019-02-20 00:00:00,2019,2,20,18:31:00,18,,,,,,,3,-58.39156,-34.621558,CICLISTA-SD,CICLISTA,,Lesion
1242,LC-2019-0110424,1,2019-02-20 00:00:00,2019,2,20,19:56:00,19,,,,,,,15,-58.48412,-34.582109,CICLISTA-SD,CICLISTA,,Lesion
1243,LC-2019-0110681,1,2019-02-20 00:00:00,2019,2,20,23:29:00,23,,,,,,,13,-58.449738,-34.573918,CICLISTA-SD,CICLISTA,,Lesion
1244,LC-2019-0108388,1,2019-02-20 00:00:00,2019,2,20,04:20:00,4,,,,,,,9,-58.525389,-34.63917,MOTO-SD,MOTO,,Lesion
1245,LC-2019-0108389,2,2019-02-20 00:00:00,2019,2,20,00:10:00,0,,,,,,,3,-58.402176,-34.623778,SD-SD,,,Lesion
1246,LC-2019-0108537,1,2019-02-20 00:00:00,2019,2,20,08:53:00,8,,,,,,,9,-58.506995,-34.656928,SD-SD,,,Lesion
1247,LC-2019-0108746,1,2019-02-20 00:00:00,2019,2,20,10:24:00,10,,,,,,,8,-58.479147,-34.68221,SD-SD,,,Lesion
1248,LC-2019-0108806,1,2019-02-20 00:00:00,2019,2,20,09:58:00,9,,,,,,,No Especificada,,,SD-SD,,,Lesion
1249,LC-2019-0108835,2,2019-02-20 00:00:00,2019,2,20,07:30:00,7,,,,,,,No Especificada,,,SD-SD,,,Lesion
1250,LC-2019-0109046,1,2019-02-20 00:00:00,2019,2,20,07:40:00,7,,,,,,,1,-58.371488,-34.598416,SD-SD,,,Lesion
1251,LC-2019-0109068,1,2019-02-20 00:00:00,2019,2,20,10:30:00,10,,,,,,,15,-58.457694,-34.595184,SD-SD,,,Lesion
1252,LC-2019-0109127,1,2019-02-20 00:00:00,2019,2,20,10:23:00,10,,,,,,,13,-58.468705,-34.551958,MOTO-SD,MOTO,,Lesion
1253,LC-2019-0109157,1,2019-02-20 00:00:00,2019,2,20,10:40:00,10,,,,,,,1,-58.374722,-34.612649,PEATON-SD,PEATON,,Lesion
1254,LC-2019-0109225,1,2019-02-20 00:00:00,2019,2,20,10:30:00,10,,,,,,,6,-58.437172,-34.628508,MOTO-SD,MOTO,,Lesion
1255,LC-2019-0109241,2,2019-02-20 00:00:00,2019,2,20,12:53:00,12,,,,,,,3,-58.398045,-34.604654,SD-SD,,,Lesion
1256,LC-2019-0109281,1,2019-02-20 00:00:00,2019,2,20,13:11:00,13,,,,,,,15,-58.473736,-34.58423,SD-SD,,,Lesion
1257,LC-2019-0109567,1,2019-02-20 00:00:00,2019,2,20,13:30:00,13,,,,,,,2,-58.397192,-34.599729,SD-SD,,,Lesion
1258,LC-2019-0109662,1,2019-02-20 00:00:00,2019,2,20,15:09:00,15,,,,,,,14,-58.436279,-34.565181,SD-SD,,,Lesion
1259,LC-2019-0109803,1,2019-02-20 00:00:00,2019,2,20,14:42:00,14,,,,,,,5,-58.417723,-34.620979,SD-SD,,,Lesion
1260,LC-2019-0109847,1,2019-02-20 00:00:00,2019,2,20,16:00:00,16,,,,,,,15,-58.44643,-34.583808,SD-SD,,,Lesion
1261,LC-2019-0109971,1,2019-02-20 00:00:00,2019,2,20,15:00:00,15,,,,,,,2,-58.392938,-34.599636,SD-SD,,,Lesion
1262,LC-2019-0109996,1,2019-02-20 00:00:00,2019,2,20,17:05:00,17,,,,,,,9,-58.471478,-34.639116,SD-SD,,,Lesion
1263,LC-2019-0110219,1,2019-02-20 00:00:00,2019,2,20,17:10:00,17,,,,,,,5,-58.419903,-34.616672,SD-SD,,,Lesion
1264,LC-2019-0110260,1,2019-02-20 00:00:00,2019,2,20,16:10:00,16,,,,,,,1,-58.379387,-34.604906,SD-SD,,,Lesion
1265,LC-2019-0110437,1,2019-02-20 00:00:00,2019,2,20,19:59:00,19,,,,,,,1,-58.382237,-34.626937,SD-SD,,,Lesion
1266,LC-2019-0110484,1,2019-02-20 00:00:00,2019,2,20,20:24:00,20,,,,,,,14,-58.409869,-34.577281,SD-SD,,,Lesion
1267,LC-2019-0110536,1,2019-02-20 00:00:00,2019,2,20,00:30:00,0,,,,,,,6,-58.433821,-34.628018,SD-SD,,,Lesion
1268,LC-2019-0110547,1,2019-02-20 00:00:00,2019,2,20,17:30:00,17,,,,,,,8,-58.476557,-34.673099,SD-SD,,,Lesion
1269,LC-2019-0110567,2,2019-02-20 00:00:00,2019,2,20,21:04:00,21,,,,,,,11,-58.522341,-34.598144,MOTO-SD,MOTO,,Lesion
1270,LC-2019-0110666,2,2019-02-20 00:00:00,2019,2,20,21:20:00,21,,,,,,,12,-58.480903,-34.57114,AUTO-SD,AUTO,,Lesion
1271,LC-2019-0110676,2,2019-02-20 00:00:00,2019,2,20,20:35:00,20,,,,,,,7,-58.428499,-34.631579,MOTO-SD,MOTO,,Lesion
1272,LC-2019-0110691,1,2019-02-20 00:00:00,2019,2,20,22:10:00,22,,,,,,,1,-58.373091,-34.617156,SD-SD,,,Lesion
1273,LC-2019-0112011,1,2019-02-20 00:00:00,2019,2,20,12:50:00,12,,,,,,,1,-58.383075,-34.615378,SD-SD,,,Lesion
1274,LC-2019-0113821,1,2019-02-20 00:00:00,2019,2,20,12:40:00,12,,,,,,,12,-58.476554,-34.571098,SD-SD,,,Lesion
1275,LC-2019-0113952,1,2019-02-20 00:00:00,2019,2,20,02:00:00,2,,,,,,,12,-58.476291,-34.568401,MOTO-SD,MOTO,,Lesion
1276,LC-2019-0122941,1,2019-02-20 00:00:00,2019,2,20,08:30:00,8,,,,,,,8,-58.456282,-34.675409,SD-SD,,,Lesion
1277,LC-2019-0123142,1,2019-02-20 00:00:00,2019,2,20,21:30:00,21,,,,,,,9,-58.494944,-34.654129,SD-SD,,,Lesion
1278,LC-2019-0112151,1,2019-02-21 00:00:00,2019,2,21,14:00:00,14,,,,,,,3,-58.401851,-34.625199,CICLISTA-SD,CICLISTA,,Lesion
1279,LC-2019-0112774,1,2019-02-21 00:00:00,2019,2,21,11:45:00,11,,,,,,,12,-58.481401,-34.577515,CICLISTA-SD,CICLISTA,,Lesion
1280,LC-2019-0110742,1,2019-02-21 00:00:00,2019,2,21,00:39:00,0,,,,,,,14,-58.4294,-34.584883,SD-SD,,,Lesion
1281,LC-2019-0111107,1,2019-02-21 00:00:00,2019,2,21,08:59:00,8,,,,,,,15,-58.454993,-34.602122,SD-SD,,,Lesion
1282,LC-2019-0111108,1,2019-02-21 00:00:00,2019,2,21,07:30:00,7,,,,,,,12,-58.472035,-34.561541,SD-SD,,,Lesion
1283,LC-2019-0111256,1,2019-02-21 00:00:00,2019,2,21,10:07:00,10,,,,,,,12,-58.475488,-34.539371,SD-SD,,,Lesion
1284,LC-2019-0112059,1,2019-02-21 00:00:00,2019,2,21,14:02:00,14,,,,,,,9,-58.515321,-34.654326,SD-SD,,,Lesion
1285,LC-2019-0112066,2,2019-02-21 00:00:00,2019,2,21,12:22:00,12,,,,,,,13,-58.465227,-34.555371,SD-SD,,,Lesion
1286,LC-2019-0112088,1,2019-02-21 00:00:00,2019,2,21,14:16:00,14,,,,,,,4,-58.389014,-34.651172,MOTO-SD,MOTO,,Lesion
1287,LC-2019-0112124,1,2019-02-21 00:00:00,2019,2,21,14:26:00,14,,,,,,,9,-58.515321,-34.654326,SD-SD,,,Lesion
1288,LC-2019-0112187,1,2019-02-21 00:00:00,2019,2,21,12:40:00,12,,,,,,,13,-58.461065,-34.561801,SD-SD,,,Lesion
1289,LC-2019-0112211,1,2019-02-21 00:00:00,2019,2,21,15:32:00,15,,,,,,,6,-58.429637,-34.627411,SD-SD,,,Lesion
1290,LC-2019-0112261,1,2019-02-21 00:00:00,2019,2,21,13:25:00,13,,,,,,,9,-58.529089,-34.638866,SD-SD,,,Lesion
1291,LC-2019-0112265,1,2019-02-21 00:00:00,2019,2,21,13:20:00,13,,,,,,,5,-58.412759,-34.616628,SD-SD,,,Lesion
1292,LC-2019-0112365,2,2019-02-21 00:00:00,2019,2,21,14:20:00,14,,,,,,,11,-58.515303,-34.59047,SD-SD,,,Lesion
1293,LC-2019-0112370,1,2019-02-21 00:00:00,2019,2,21,14:45:00,14,,,,,,,12,-58.48289,-34.57478,MOTO-SD,MOTO,,Lesion
1294,LC-2019-0112414,1,2019-02-21 00:00:00,2019,2,21,15:17:00,15,,,,,,,13,-58.444623,-34.562011,SD-SD,,,Lesion
1295,LC-2019-0112568,1,2019-02-21 00:00:00,2019,2,21,16:40:00,16,,,,,,,1,-58.368691,-34.617004,MOTO-SD,MOTO,,Lesion
1296,LC-2019-0112656,1,2019-02-21 00:00:00,2019,2,21,15:30:00,15,,,,,,,15,-58.470874,-34.578274,SD-SD,,,Lesion
1297,LC-2019-0112769,1,2019-02-21 00:00:00,2019,2,21,17:13:00,17,,,,,,,6,-58.438305,-34.617641,SD-SD,,,Lesion
1298,LC-2019-0112829,2,2019-02-21 00:00:00,2019,2,21,16:20:00,16,,,,,,,13,-58.469881,-34.556492,SD-SD,,,Lesion
1299,LC-2019-0112880,1,2019-02-21 00:00:00,2019,2,21,18:52:00,18,,,,,,,9,-58.478816,-34.657841,SD-SD,,,Lesion
1300,LC-2019-0113105,1,2019-02-21 00:00:00,2019,2,21,19:35:00,19,,,,,,,3,-58.401265,-34.615508,SD-SD,,,Lesion
1301,LC-2019-0113108,2,2019-02-21 00:00:00,2019,2,21,20:26:00,20,,,,,,,4,-58.406528,-34.646861,SD-SD,,,Lesion
1302,LC-2019-0113135,1,2019-02-21 00:00:00,2019,2,21,21:01:00,21,,,,,,,1,-58.382852,-34.588405,SD-SD,,,Lesion
1303,LC-2019-0113140,1,2019-02-21 00:00:00,2019,2,21,18:00:00,18,,,,,,,1,-58.366076,-34.621506,MOTO-SD,MOTO,,Lesion
1304,LC-2019-0113192,2,2019-02-21 00:00:00,2019,2,21,18:50:00,18,,,,,,,1,-58.371137,-34.599408,SD-SD,,,Lesion
1305,LC-2019-0113263,2,2019-02-21 00:00:00,2019,2,21,20:30:00,20,,,,,,,12,-58.494752,-34.572179,SD-SD,,,Lesion
1306,LC-2019-0113264,3,2019-02-21 00:00:00,2019,2,21,20:00:00,20,,,,,,,13,-58.472201,-34.537936,SD-SD,,,Lesion
1307,LC-2019-0113290,1,2019-02-21 00:00:00,2019,2,21,20:20:00,20,,,,,,,1,-58.381976,-34.588698,SD-SD,,,Lesion
1308,LC-2019-0113473,1,2019-02-21 00:00:00,2019,2,21,22:37:00,22,,,,,,,8,-58.432398,-34.670594,MOTO-SD,MOTO,,Lesion
1309,LC-2019-0113490,2,2019-02-21 00:00:00,2019,2,21,22:00:00,22,,,,,,,15,-58.437603,-34.600263,MOTO-SD,MOTO,,Lesion
1310,LC-2019-0115550,1,2019-02-21 00:00:00,2019,2,21,18:30:00,18,,,,,,,9,-58.506861,-34.65067,SD-SD,,,Lesion
1311,LC-2019-0115862,1,2019-02-21 00:00:00,2019,2,21,15:00:00,15,,,,,,,1,-58.387186,-34.622465,CAMIONETA-SD,CAMIONETA,,Lesion
1312,LC-2019-0125924,1,2019-02-21 00:00:00,2019,2,21,15:50:00,15,,,,,,,No Especificada,,,SD-SD,,,Lesion
1313,LC-2019-0112834,1,2019-02-21 00:00:00,2019,2,21,17:00:00,17,,,"PAZ, GRAL. AV.",,SUPERI,"PAZ, GRAL. AV. y SUPERI",,,,SD-SD,,,Lesion
1314,LC-2019-0115813,1,2019-02-22 00:00:00,2019,2,22,21:38:00,21,,,,,,,7,-58.44685,-34.649153,CICLISTA-SD,CICLISTA,,Lesion
1315,LC-2019-0113578,1,2019-02-22 00:00:00,2019,2,22,06:48:00,6,,,,,,,12,-58.475973,-34.558505,SD-SD,,,Lesion
1316,LC-2019-0113601,1,2019-02-22 00:00:00,2019,2,22,05:31:00,5,,,,,,,13,-58.457125,-34.571421,MOTO-SD,MOTO,,Lesion
1317,LC-2019-0113790,1,2019-02-22 00:00:00,2019,2,22,07:30:00,7,,,,,,,12,-58.479721,-34.556971,SD-SD,,,Lesion
1318,LC-2019-0113849,1,2019-02-22 00:00:00,2019,2,22,09:43:00,9,,,,,,,14,-58.417953,-34.554512,SD-SD,,,Lesion
1319,LC-2019-0113879,1,2019-02-22 00:00:00,2019,2,22,08:00:00,8,,,,,,,11,-58.517744,-34.593197,SD-SD,,,Lesion
1320,LC-2019-0113892,1,2019-02-22 00:00:00,2019,2,22,07:45:00,7,,,,,,,5,-58.415215,-34.619729,SD-SD,,,Lesion
1321,LC-2019-0114121,1,2019-02-22 00:00:00,2019,2,22,08:55:00,8,,,,,,,12,-58.496847,-34.548807,SD-SD,,,Lesion
1322,LC-2019-0114126,1,2019-02-22 00:00:00,2019,2,22,08:05:00,8,,,,,,,15,-58.440835,-34.593965,SD-SD,,,Lesion
1323,LC-2019-0114156,1,2019-02-22 00:00:00,2019,2,22,08:30:00,8,,,,,,,1,-58.382439,-34.583319,SD-SD,,,Lesion
1324,LC-2019-0114180,1,2019-02-22 00:00:00,2019,2,22,11:37:00,11,,,,,,,4,-58.388558,-34.656904,SD-SD,,,Lesion
1325,LC-2019-0114348,1,2019-02-22 00:00:00,2019,2,22,12:30:00,12,,,,,,,12,-58.509038,-34.569999,SD-SD,,,Lesion
1326,LC-2019-0114406,1,2019-02-22 00:00:00,2019,2,22,12:37:00,12,,,,,,,1,-58.381284,-34.614244,SD-SD,,,Lesion
1327,LC-2019-0114407,1,2019-02-22 00:00:00,2019,2,22,12:01:00,12,,,,,,,13,-58.429913,-34.550896,SD-SD,,,Lesion
1328,LC-2019-0114431,1,2019-02-22 00:00:00,2019,2,22,11:00:00,11,,,,,,,10,-58.476515,-34.632966,AUTO-SD,AUTO,,Lesion
1329,LC-2019-0114487,1,2019-02-22 00:00:00,2019,2,22,10:30:00,10,,,,,,,1,-58.375448,-34.592655,SD-SD,,,Lesion
1330,LC-2019-0114499,2,2019-02-22 00:00:00,2019,2,22,08:00:00,8,,,,,,,1,-58.387811,-34.631318,AUTO-SD,AUTO,,Lesion
1331,LC-2019-0114528,1,2019-02-22 00:00:00,2019,2,22,12:05:00,12,,,,,,,9,-58.499786,-34.658167,SD-SD,,,Lesion
1332,LC-2019-0114542,1,2019-02-22 00:00:00,2019,2,22,11:07:00,11,,,,,,,3,-58.394681,-34.6044,SD-SD,,,Lesion
1333,LC-2019-0114638,1,2019-02-22 00:00:00,2019,2,22,12:20:00,12,,,,,,,1,-58.369503,-34.615812,SD-SD,,,Lesion
1334,LC-2019-0114777,1,2019-02-22 00:00:00,2019,2,22,14:39:00,14,,,,,,,9,-58.527883,-34.638388,PEATON-SD,PEATON,,Lesion
1335,LC-2019-0115097,1,2019-02-22 00:00:00,2019,2,22,00:00:00,0,,,,,,,14,-58.404878,-34.57655,MOTO-SD,MOTO,,Lesion
1336,LC-2019-0115211,1,2019-02-22 00:00:00,2019,2,22,16:54:00,16,,,,,,,12,-58.49491,-34.547957,SD-SD,,,Lesion
1337,LC-2019-0115226,1,2019-02-22 00:00:00,2019,2,22,14:40:00,14,,,,,,,10,-58.496206,-34.636877,SD-SD,,,Lesion
1338,LC-2019-0115239,1,2019-02-22 00:00:00,2019,2,22,16:10:00,16,,,,,,,9,-58.479928,-34.641301,SD-SD,,,Lesion
1339,LC-2019-0115258,1,2019-02-22 00:00:00,2019,2,22,17:14:00,17,,,,,,,7,-58.463831,-34.644367,SD-SD,,,Lesion
1340,LC-2019-0115357,1,2019-02-22 00:00:00,2019,2,22,17:52:00,17,,,,,,,14,-58.404878,-34.57655,MOTO-SD,MOTO,,Lesion
1341,LC-2019-0115509,1,2019-02-22 00:00:00,2019,2,22,17:20:00,17,,,,,,,6,-58.432819,-34.625718,SD-SD,,,Lesion
1342,LC-2019-0115523,1,2019-02-22 00:00:00,2019,2,22,18:07:00,18,,,,,,,No Especificada,,,MOTO-SD,MOTO,,Lesion
1343,LC-2019-0115608,1,2019-02-22 00:00:00,2019,2,22,17:31:00,17,,,,,,,3,-58.395701,-34.623083,SD-SD,,,Lesion
1344,LC-2019-0115693,1,2019-02-22 00:00:00,2019,2,22,20:10:00,20,,,,,,,3,-58.411747,-34.604082,SD-SD,,,Lesion
